period_type,period,sector_name,event_count,company_count,increase_count,decrease_count,net_delta_shares,abs_delta_shares,net_ownership_delta,abs_ownership_delta
month,2025-01,IT,13,11,6,7,5701097.0,14933669.0,0.0239,0.0611
month,2025-01,건설,4,3,2,2,635413.0,1635397.0,-0.0094,0.0094
month,2025-01,금융,14,14,11,3,7791014.0,29473680.0,0.0156,0.1242
month,2025-01,미디어,7,7,4,3,1021276.0,2258322.0,-0.0088,0.0102
month,2025-01,산업재,19,17,16,3,5827560.0,6189104.0,-0.0183,0.0575
month,2025-01,섬유의류,2,2,2,0,746399.0,746399.0,-0.0037,0.0039
month,2025-01,소재,21,19,11,10,1137740.0,5826532.0,0.0651,0.1145
month,2025-01,에너지,1,1,1,0,1600991.0,1600991.0,-0.0087,0.0087
month,2025-01,엔터테인먼트,1,1,1,0,2181671.0,2181671.0,-0.0027,0.0027
month,2025-01,운송,6,3,4,2,18551093.0,19872005.0,0.0004,0.0038
month,2025-01,유통,14,9,10,4,10616378.0,14858282.0,0.0045,0.0297
month,2025-01,음식료,6,5,4,2,667707.0,835897.0,-0.012,0.0198
month,2025-01,자동차,2,1,2,0,1834112.0,1834112.0,-0.0001,0.0019
month,2025-01,전문서비스,5,4,3,2,1122195.0,2772613.0,0.0039,0.0191
month,2025-01,통신,1,1,1,0,1911516.0,1911516.0,-0.0009,0.0009
month,2025-01,헬스케어,10,9,5,5,-830285.0,1469667.0,0.0101,0.0397
month,2025-02,IT,3,3,3,0,9451611.0,9451611.0,0.0359,0.0359
month,2025-02,건설,2,2,0,2,-1206656.0,1206656.0,-0.0079,0.0079
month,2025-02,금융,6,6,4,2,664835.0,5165369.0,0.0035,0.0109
month,2025-02,미디어,2,2,2,0,2056895.0,2056895.0,0.0206,0.0206
month,2025-02,산업재,5,3,2,3,3461736.0,6990728.0,-0.011,0.011
month,2025-02,소재,2,2,2,0,3014526.0,3014526.0,0.0057,0.0057
month,2025-02,운송,1,1,1,0,18506.0,18506.0,0.0008,0.0008
month,2025-02,유통,3,3,3,0,6182555.0,6182555.0,0.0039,0.0039
month,2025-02,통신,1,1,0,1,-43121.0,43121.0,0.0,0.0
month,2025-02,헬스케어,6,2,2,4,2314333.0,2600119.0,-0.011,0.0124
month,2025-03,IT,3,3,1,2,113184.0,313362.0,0.0067,0.0149
month,2025-03,건설,1,1,1,0,506760.0,506760.0,0.0077,0.0077
month,2025-03,금융,4,3,3,1,5004616.0,5116426.0,0.0023,0.0051
month,2025-03,미디어,4,3,4,0,379778.0,379778.0,0.0126,0.0126
